Epoch	AverageEpRet_extr	StdEpRet_extr	MaxEpRet_extr	MinEpRet_extr	EpRet_intr	EpLen	VVals_extr	VVals_intr	LossPi	LossV_extr	LossV_intr	LossRND	DeltaLossPi	DeltaLossV_extr	DeltaLossV_intr	TotalEnvInteracts	Entropy	KL	ClipFrac	StopIter	Time
0	-200.0	0.0	-200.0	-200.0	0.121777885	200.0	-0.16773432	0.11099231	-6.45717e-08	3285.1536	1280.7775	0.0005700051	-0.0050017107	-816.2631	-473.6862	4000	1.0833737	0.015094161	0.13163163	36.0	2.406921863555908
1	-200.0	0.0	-200.0	-200.0	0.024470808	200.0	-8.757263	9.006549	-6.7055225e-08	2744.2559	23.295275	0.00011940687	-0.0025607406	-553.19196	-3.397693	8000	1.0653049	0.015367061	0.05155155	40.0	4.508522033691406
2	-200.0	0.0	-200.0	-200.0	0.023863256	200.0	-15.019801	10.208281	3.526608e-07	2380.446	43.012573	0.00010614034	-0.0050229165	-450.34488	-0.9035446	12000	1.0542638	0.011400585	0.13863863	79.0	8.09047555923462
3	-200.0	0.0	-200.0	-200.0	0.018880406	200.0	-20.472994	10.674409	2.1855037e-07	2084.6982	24.701979	9.399431e-05	-0.002912825	-393.2374	-0.011452317	16000	1.002174	0.015138634	0.0	24.0	10.401221513748169
4	-200.0	0.0	-200.0	-200.0	0.022263065	200.0	-25.560452	10.743188	-1.5646219e-07	1826.5082	32.684795	9.7086806e-05	-0.0023277428	-349.08664	-0.060386796	20000	0.92855686	0.004542103	0.03978979	79.0	13.979621648788452
5	-200.0	0.0	-200.0	-200.0	0.017454343	200.0	-30.39086	10.882151	-9.934107e-08	1597.149	45.26903	0.00010583926	-0.0043276083	-311.38983	-0.24651758	24000	0.90882653	0.010231882	0.012762763	79.0	18.65997338294983
6	-200.0	0.0	-200.0	-200.0	0.021007396	200.0	-35.005592	11.188831	6.953875e-08	1392.402	28.060125	9.4818206e-05	-0.0048392653	-277.9597	-0.00044765076	28000	0.9840653	0.006581372	0.020020021	79.0	21.77424907684326
7	-200.0	0.0	-200.0	-200.0	0.027853295	200.0	-39.424282	11.209137	1.2417634e-07	1209.504	28.00472	0.0001150234	-0.003659931	-247.80681	-1.1796671	32000	0.9851906	0.016627505	0.15215215	18.0	23.52897357940674
8	-200.0	0.0	-200.0	-200.0	0.019974599	200.0	-43.65911	11.915189	-1.2417634e-08	1046.2871	39.532433	0.00010679846	-0.002768473	-220.36873	-0.01568973	36000	0.886439	0.008157595	0.058308307	79.0	25.722704887390137
9	-200.0	0.0	-200.0	-200.0	0.024356758	200.0	-47.716698	12.00861	-9.934108e-09	901.00006	33.122646	0.00011955097	-0.0024512024	-195.32246	-0.7154069	40000	0.7904361	0.0076183104	0.068568565	79.0	27.831249237060547
