Epoch	AverageEpRet_extr	StdEpRet_extr	MaxEpRet_extr	MinEpRet_extr	EpRet_intr	EpLen	VVals_extr	VVals_intr	LossPi	LossV_extr	LossV_intr	LossRND	DeltaLossPi	DeltaLossV_extr	DeltaLossV_intr	TotalEnvInteracts	Entropy	KL	ClipFrac	StopIter	Time
0	-200.0	0.0	-200.0	-200.0	0.013566087	200.0	-0.12182115	0.034200244	7.761022e-08	3288.0906	30.640654	6.937187e-05	-0.0016350074	-871.3872	-17.46905	4000	1.0958847	0.005922818	0.019019019	79.0	2.286313056945801
1	-200.0	0.0	-200.0	-200.0	0.018479468	200.0	-9.349717	4.233203	-1.6887982e-07	2708.3167	32.963436	9.055662e-05	-0.0037341742	-558.63605	-12.115009	8000	1.0842718	0.0065292306	0.028028028	79.0	4.557854890823364
2	-200.0	0.0	-200.0	-200.0	0.013085394	200.0	-15.726029	7.6789346	2.9740235e-07	2341.0012	12.900203	5.9406404e-05	-0.0035572902	-449.76328	-0.09004279	12000	1.08133	0.016741658	0.5750751	13.0	6.313265562057495
3	-200.0	0.0	-200.0	-200.0	0.015905641	200.0	-21.221596	7.3769736	6.208817e-08	2045.5853	12.040856	7.263269e-05	-0.0026606368	-391.06787	-0.32513872	16000	1.0374676	0.008289666	0.0513013	79.0	8.5742027759552
4	-200.0	0.0	-200.0	-200.0	0.0156683	200.0	-26.33352	7.934222	-7.450581e-09	1788.7592	27.48786	8.776255e-05	-0.0041260067	-346.16434	-1.8091272	20000	1.0282239	0.0060339007	0.0528028	79.0	10.772366046905518
5	-200.0	0.0	-200.0	-200.0	0.02216577	200.0	-31.178055	9.27505	-1.09275184e-07	1561.2572	42.204494	8.8577566e-05	-0.0036974323	-308.08447	-1.0041869	24000	1.00797	0.012930269	0.0060060066	79.0	13.003663778305054
6	-200.0	0.0	-200.0	-200.0	0.0129063325	200.0	-35.800526	10.284908	2.5580326e-07	1358.5267	14.905177	5.6108325e-05	-0.0038423024	-274.42465	-3.400357	28000	1.0614353	0.004239457	0.037037037	79.0	15.264384746551514
7	-200.0	0.0	-200.0	-200.0	0.014334156	200.0	-40.22062	8.434225	2.4835268e-08	1177.9128	25.806158	6.89894e-05	-0.0043788943	-244.20619	-0.02353553	32000	1.0584792	0.010922053	0.055555552	79.0	17.5675790309906
8	-200.0	0.0	-200.0	-200.0	0.0131472945	200.0	-44.453068	8.28008	-9.8099314e-08	1017.0451	12.76181	7.025841e-05	-0.006355693	-216.77338	-0.0029060245	36000	1.0092584	0.0053284224	0.06356356	79.0	19.81446099281311
9	-200.0	0.0	-200.0	-200.0	0.021232223	200.0	-48.50575	8.237753	9.934108e-09	874.03613	14.258495	8.4017585e-05	-0.003950305	-191.75378	-1.1349493	40000	0.988115	0.0091299685	0.083833836	79.0	22.005017042160034
