Epoch	AverageEpRet_extr	StdEpRet_extr	MaxEpRet_extr	MinEpRet_extr	EpRet_intr	EpLen	VVals_extr	VVals_intr	LossPi	LossV_extr	LossV_intr	LossRND	DeltaLossPi	DeltaLossV_extr	DeltaLossV_intr	TotalEnvInteracts	Entropy	KL	ClipFrac	StopIter	Time
0	-200.0	0.0	-200.0	-200.0	0.031033859	200.0	-0.035144735	-0.12820911	3.3775964e-07	3293.9033	122.516754	0.00013361928	-0.0049290885	-835.9549	-71.0895	4000	1.0983008	0.012723487	0.06906907	79.0	2.255018472671509
1	-200.0	0.0	-200.0	-200.0	0.028730216	200.0	-8.830294	7.4084716	2.4835268e-08	2739.7185	99.858116	0.00013022202	-0.0027822983	-556.26685	-18.809813	8000	1.0824674	0.009647631	0.0012512513	79.0	4.592486381530762
2	-200.0	0.0	-200.0	-200.0	0.025156757	200.0	-15.138992	11.579052	-2.8808913e-07	2374.1982	83.563286	0.00012823193	-0.0039090132	-451.01376	-3.5029495	12000	1.0608497	0.011434273	0.06256256	79.0	7.128009796142578
3	-200.0	0.0	-200.0	-200.0	0.025522804	200.0	-20.611671	13.446344	-1.1920929e-07	2077.3657	47.04659	0.00011331353	-0.0038203138	-393.072	-0.012150685	16000	1.0776376	0.014413014	0.06331331	79.0	9.860127925872803
4	-200.0	0.0	-200.0	-200.0	0.026154181	200.0	-25.709906	13.556771	2.0613273e-07	1819.2789	66.73882	0.00012040641	-0.002090566	-348.65805	-0.07235702	20000	1.0288721	0.00977086	0.1031031	79.0	12.228748083114624
5	-200.0	0.0	-200.0	-200.0	0.033977848	200.0	-30.545855	13.833512	-1.2417634e-07	1590.1198	68.212006	0.0001633085	-0.004053204	-310.83652	-7.307268	24000	1.011144	0.013736139	0.11261261	79.0	14.58068561553955
6	-200.0	0.0	-200.0	-200.0	0.03842784	200.0	-35.163765	16.597542	1.3411045e-07	1385.7021	89.790215	0.00016841195	-0.0044055744	-277.342	-1.8979688	28000	0.9172589	0.00837295	0.08608609	79.0	16.98167586326599
7	-200.0	0.0	-200.0	-200.0	0.045277733	200.0	-39.58474	18.004704	-5.9604645e-08	1203.2085	107.842445	0.00019725681	-0.001581395	-247.1512	-2.2011201	32000	0.8201844	0.0058773607	0.030280283	79.0	19.338348627090454
8	-200.0	0.0	-200.0	-200.0	0.03929947	200.0	-43.820534	19.512484	6.953875e-08	1040.3939	57.752777	0.00018221456	-0.0018808345	-219.6919	-0.07876905	36000	0.8158398	0.00678968	0.025525525	79.0	21.648897409439087
9	-200.0	0.0	-200.0	-200.0	0.0403129	200.0	-47.877796	19.794344	-8.940697e-08	895.5298	147.03984	0.00015891063	-0.0018041246	-194.63902	-0.76187104	40000	0.8290546	0.0036717046	0.038288288	79.0	23.928926944732666
10	-200.0	0.0	-200.0	-200.0	0.050760865	200.0	-51.761395	18.920017	1.0430813e-07	767.0627	298.9509	0.00017459947	-0.0011908375	-171.76746	-1.8727409	44000	0.7802806	0.0010814457	0.015765766	79.0	26.26132583618164
11	-200.0	0.0	-200.0	-200.0	0.030081144	200.0	-55.47393	20.282625	-4.967054e-09	653.54517	74.17047	0.000170687	-0.006497747	-150.89993	-0.68505937	48000	0.7257149	0.0033893257	0.06256256	79.0	28.59287428855896
