Epoch	AverageEpRet_extr	StdEpRet_extr	MaxEpRet_extr	MinEpRet_extr	EpRet_intr	EpLen	VVals_extr	VVals_intr	LossPi	LossV_extr	LossV_intr	LossRND	DeltaLossPi	DeltaLossV_extr	DeltaLossV_intr	TotalEnvInteracts	Entropy	KL	ClipFrac	StopIter	Time
0	-200.0	0.0	-200.0	-200.0	0.066818774	200.0	-0.08404819	-0.22240256	-3.228585e-08	3290.7483	409.66806	0.0003266662	-0.004631229	-855.42645	-228.4945	4000	1.0957706	0.008782438	0.06506506	79.0	2.338763475418091
1	-200.0	0.0	-200.0	-200.0	0.02050736	200.0	-9.1150055	8.312905	-3.973643e-08	2722.6594	13.98859	8.584029e-05	-0.0042275093	-559.8121	-0.52598506	8000	1.0933057	0.008484832	0.076826826	79.0	4.567336559295654
2	-200.0	0.0	-200.0	-200.0	0.00979152	200.0	-15.485729	9.083969	3.228585e-08	2354.3435	11.422826	5.9782822e-05	-0.0029744394	-450.87234	-2.0305283	12000	1.0645869	0.010358296	0.07082082	79.0	6.780158758163452
3	-200.0	0.0	-200.0	-200.0	0.020010138	200.0	-20.98039	8.104439	2.582868e-07	2058.1853	25.591103	7.9937825e-05	-0.0021177328	-392.18094	-0.5654011	16000	1.0612336	0.0067564566	0.0022522523	79.0	8.927685499191284
4	-200.0	0.0	-200.0	-200.0	0.020145347	200.0	-26.092035	8.650435	1.9868216e-08	1800.5078	17.773842	8.710476e-05	-0.0023141324	-347.28162	-1.0742401	20000	1.0825483	0.008657231	0.0	79.0	11.12992787361145
5	-200.0	0.0	-200.0	-200.0	0.012954615	200.0	-30.935705	9.490168	1.5894572e-07	1572.2528	12.412457	5.7514288e-05	-0.001438903	-309.24103	-2.1321073	24000	1.0633086	0.015023957	0.07307308	57.0	13.095031023025513
6	-200.0	0.0	-200.0	-200.0	0.013187215	200.0	-35.55655	8.276079	-1.3286869e-07	1368.8853	5.553659	5.9822836e-05	-0.0042426623	-275.64816	-0.5264066	28000	1.0648177	0.017314373	0.275025	16.0	14.755326747894287
7	-200.0	0.0	-200.0	-200.0	0.014448223	200.0	-39.97801	7.6221204	1.5397866e-07	1187.503	14.401096	7.4228796e-05	-0.0033689898	-245.41353	-0.2667245	32000	1.0014976	0.0080306465	0.060810808	79.0	16.955307722091675
8	-200.0	0.0	-200.0	-200.0	0.013401938	200.0	-44.21302	8.072711	2.78155e-07	1025.8285	19.046394	7.117153e-05	-0.0040551107	-217.93762	-0.0136218965	36000	0.91786194	0.008812387	0.0015015015	79.0	19.094555377960205
9	-200.0	0.0	-200.0	-200.0	0.021518424	200.0	-48.268173	7.9766426	6.3329935e-08	882.10736	59.531673	9.116932e-05	-0.0031213432	-192.89471	-2.6938705	40000	0.82737255	0.0051633227	0.05455455	79.0	21.44475245475769
10	-200.0	0.0	-200.0	-200.0	0.010905556	200.0	-52.148132	9.51965	2.7318796e-08	754.7697	17.204958	6.231323e-05	-0.002967328	-170.05357	-1.8981699	44000	0.80460674	0.003597251	0.09384385	79.0	23.72280740737915
11	-200.0	0.0	-200.0	-200.0	0.0237497	200.0	-55.85509	8.201319	6.953875e-08	642.3263	93.97785	0.000101785234	-0.0015268098	-149.22603	-5.324032	48000	0.79749745	0.0024389895	0.025775775	79.0	25.946758031845093
12	-200.0	0.0	-200.0	-200.0	0.01979833	200.0	-59.39069	10.434654	9.313226e-08	543.55853	23.241644	8.793137e-05	-0.005099278	-130.30418	-0.022809902	52000	0.73553926	0.0035913426	0.05105105	79.0	28.224075317382812
13	-200.0	0.0	-200.0	-200.0	0.022248045	200.0	-62.756187	10.575343	1.1175871e-08	457.1802	25.299032	8.77266e-05	-0.0018375744	-113.15207	-0.004718145	56000	0.65625745	-0.00032403207	0.0050050053	79.0	30.399332523345947
14	-200.0	0.0	-200.0	-200.0	0.023396181	200.0	-65.9526	10.636644	-9.8099314e-08	382.07373	28.873854	9.0168265e-05	-0.0006748438	-97.67733	-0.0020148754	60000	0.6504233	0.00041125354	0.001001001	79.0	32.843443870544434
15	-200.0	0.0	-200.0	-200.0	0.029250383	200.0	-68.98054	10.661134	8.443991e-08	317.1382	66.994545	0.000115182505	-0.0042634555	-83.77948	-3.7774951	64000	0.68734664	-0.00082705746	0.054304305	79.0	35.81094813346863
16	-200.0	0.0	-200.0	-200.0	0.0182499	200.0	-71.84089	12.624032	-6.208817e-08	261.35532	23.004519	7.466622e-05	-0.002406885	-71.367256	-4.319821	68000	0.7411888	0.0073051564	0.052552555	79.0	38.95915174484253
17	-200.0	0.0	-200.0	-200.0	0.014417149	200.0	-74.53384	10.514039	9.934108e-09	213.75337	15.775905	7.337295e-05	-0.0015136789	-60.34814	-1.0847603	72000	0.6291766	0.00096761266	0.029529529	79.0	43.36733317375183
18	-200.0	0.0	-200.0	-200.0	0.014541392	200.0	-77.06144	9.454456	-6.45717e-08	173.42598	22.83278	6.0600305e-05	-0.0016066892	-50.630127	-1.7711233	76000	0.55322987	0.0011561412	0.020520521	79.0	45.820189237594604
19	-200.0	0.0	-200.0	-200.0	0.019259568	200.0	-79.42495	8.097643	9.934108e-09	139.52702	17.65973	8.317366e-05	-0.0023586343	-42.124527	-0.46737066	80000	0.53731877	0.0026610112	0.01901902	79.0	47.7636559009552
20	-200.0	0.0	-200.0	-200.0	0.016733533	200.0	-81.62651	8.796923	-2.9802322e-08	111.26594	19.706646	6.981895e-05	-0.0035114596	-34.7391	-0.092657804	84000	0.60110855	0.006150078	0.033783782	79.0	49.691335678100586
21	-200.0	0.0	-200.0	-200.0	0.015656173	200.0	-83.66849	8.490297	-1.2417634e-08	87.90802	13.551478	7.428529e-05	-0.0041024094	-28.381796	-0.008307864	88000	0.66243535	0.0017592186	0.020270271	79.0	51.73918914794922
22	-200.0	0.0	-200.0	-200.0	0.020172585	200.0	-85.55361	8.5801325	-2.9802322e-08	68.78759	39.753956	9.527948e-05	-0.0035831358	-22.962585	-2.5007489	92000	0.65436524	0.005289844	0.026026025	79.0	54.23306846618652
23	-200.0	0.0	-200.0	-200.0	0.014327851	200.0	-87.286255	10.195224	-2.4835268e-08	53.2775	27.329214	7.497522e-05	-0.0032967885	-18.385267	-0.2911589	96000	0.7207987	0.004433257	0.025525525	79.0	57.44472551345825
